WinningHand,NumWinners,FavouredHand,UnfavouredHand,FavouredHandClass,UnfavouredHandClass,FavouredWon,P(FavouredWins),P(FavouredLoses),P(Tie),P(ThisOutcome),Sum(Ps),AllHands,
Th As,1, Th As,4c Ac,AT,A4 s,1,0.606809304890,0.290920887880,0.102269807230,0.606809304890,1.000000000000,Th As, 4c Ac
9c 9s,1, 9c 9s,Jc As,99,AJ,1,0.548175440810,0.447244180940,0.004580378251,0.548175440810,1.000000000000,9c 9s, Jc As
8s As,1, Qc Ad,8s As,AQ,A8 s,0,0.659576220110,0.284892168680,0.055531611209,0.284892168680,1.000000000000,Qc Ad, 8s As
Ac Th,1,2d 0h 0m 2s,Ac Th,22,AT,0,0.517323442566,0.477269223222,0.005407334212,0.477269223222,1.000000000000,Ac Th,2d 0h 0m 2s
5d 5h,1,5d 5h,Jh Ah,55,AJ s,1,0.512523477140,0.482489674731,0.004986848130,0.512523477140,1.000000000000,Jh Ah,5d 5h
8c 5d,1, Tc Ts,8c 5d,TT,85,0,0.845540277895,0.149621796130,0.004837925976,0.149621796130,1.000000000000,Tc Ts, 8c 5d
Ad Qc,1, Ad Qc,Qh 5s,AQ,Q5,1,0.746105247666,0.237811159701,0.016083592633,0.746105247666,1.000000000000,Ad Qc, Qh 5s
Ah Ks,1, Ah Ks,8h,AK,86s,1,0.601365762154,0.393929465796,0.004704772050,0.601365762154,1.000000000000,Ah Ks,8h
Qh Qc,1, Qh Qc,Kc Ah,QQ,AK,1,0.560993842215,0.433984269148,0.005021888637,0.560993842215,1.000000000000,Qh Qc, Kc Ah
Ts 8h,1, Ad 7h,Ts 8h,A7,T8,0,0.565997042581,0.430258295256,0.003744662163,0.430258295256,1.000000000000,Ts 8h, Ad 7h
Qh Ad,1, Qh Ad,Td Jd,AQ,JT s,1,0.601877353554,0.393145142451,0.004977503995,0.601877353554,1.000000000000,Qh Ad, Td Jd
Qh 9d,1, 4c 4d,Qh 9d,44,Q9,0,0.514170380960,0.477509834702,0.008319784337,0.477509834702,1.000000000000,4c 4d, Qh 9d
Ah 4s,1, Ah 4s,Jh 7h,A4,J7 s,1,0.559400083163,0.435416841869,0.005183074968,0.559400083163,1.000000000000,Jh 7h, Ah 4s
As Qd,1, As Qd,9c Qc,AQ,Q9 s,1,0.691743989385,0.293467164709,0.014788845906,0.691743989385,1.000000000000,As Qd, 9c Qc
3h Kh,1, 3h Kh,Td Jc,K3 s,JT,1,0.565688686121,0.427727202646,0.006584111233,0.565688686121,1.000000000000,Td Jc, 3h Kh
Kh Ad,1, Jd Jh,Kh Ad,JJ,AK,0,0.562046225437,0.433089568208,0.004864206356,0.433089568208,1.000000000000,Jd Jh, Kh Ad
Kc Ad,1, Kc Ad,Js Th,AK,JT,1,0.624282253619,0.372064189536,0.003653556845,0.624282253619,1.000000000000,Kc Ad, Js Th
